Time,RPM,MPH,Throttle,Load,Fuel Status
16:6:0.719506,895,0.0,2.74509803922,3.52941176471,0200
16:6:1.951653,889,0.0,2.74509803922,3.52941176471,0200
16:6:3.158476,891,0.0,2.74509803922,3.52941176471,0200
16:6:4.515752,901,0.0,2.74509803922,3.52941176471,0200
16:6:5.703833,883,0.0,2.74509803922,3.52941176471,0200
16:6:6.943354,906,0.0,2.74509803922,3.52941176471,0200
16:6:8.169778,901,0.0,2.74509803922,3.52941176471,0200
16:6:9.612176,897,0.0,2.74509803922,3.52941176471,0200
16:6:10.781762,893,0.0,2.74509803922,3.52941176471,0200
16:6:11.935271,891,0.0,2.74509803922,3.52941176471,0200
16:6:13.118965,883,0.0,2.74509803922,3.52941176471,0200
16:6:14.399814,898,0.0,2.74509803922,3.52941176471,0200
16:6:15.616885,889,0.0,2.74509803922,3.52941176471,0200
16:6:16.800941,892,0.0,2.74509803922,3.52941176471,0200
16:6:17.968965,902,0.0,2.74509803922,3.52941176471,0200
16:6:19.164037,892,0.0,2.74509803922,3.52941176471,0200
16:6:20.329821,888,0.0,2.74509803922,3.52941176471,0200
16:6:21.520576,880,0.0,2.74509803922,3.52941176471,0200
16:6:22.721319,897,0.0,2.74509803922,3.52941176471,0200
16:6:24.104963,890,0.0,2.74509803922,3.52941176471,0200
16:6:25.266342,895,0.0,2.74509803922,3.52941176471,0200
16:6:26.399622,893,0.0,2.74509803922,3.52941176471,0200
16:6:27.537794,887,0.0,2.74509803922,3.52941176471,0200
16:6:28.920104,905,0.0,2.74509803922,3.52941176471,0200
16:6:30.54759,897,0.0,2.74509803922,3.52941176471,0200
16:6:31.205358,884,0.0,2.74509803922,3.52941176471,0200
16:6:32.365109,890,0.0,2.74509803922,3.52941176471,0200
16:6:33.663234,896,0.0,2.74509803922,3.52941176471,0200
16:6:34.850259,881,0.0,2.74509803922,3.52941176471,0200
16:6:36.51948,896,0.0,2.74509803922,3.52941176471,0200
16:6:37.208956,886,0.0,2.74509803922,3.52941176471,0200
16:6:38.505338,909,0.0,2.74509803922,3.52941176471,0200
16:6:39.710920,887,0.0,2.74509803922,3.52941176471,0200
16:6:40.904335,894,0.0,2.74509803922,3.52941176471,0200
16:6:42.23525,901,0.0,2.74509803922,3.52941176471,0200
16:6:43.389292,902,0.0,2.74509803922,3.52941176471,0200
16:6:44.533347,892,0.0,2.74509803922,3.52941176471,0200
16:6:45.676844,892,0.0,2.74509803922,3.52941176471,0200
16:6:46.788747,891,0.0,2.74509803922,3.52941176471,0200
16:6:48.146172,897,0.0,2.74509803922,3.13725490196,0200
16:6:49.277129,897,0.0,2.74509803922,3.13725490196,0200
16:6:50.380394,900,0.0,2.74509803922,3.52941176471,0200
16:6:51.526284,895,0.0,2.74509803922,3.52941176471,0200
16:6:52.886969,893,0.0,2.74509803922,3.13725490196,0200
16:6:54.26358,885,0.0,2.74509803922,3.13725490196,0200
16:6:55.149176,899,0.0,2.74509803922,3.13725490196,0200
